track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
Down In Atlanta,Down In Atlanta - Single,Pharrell Williams,11/18/2022,USSM12208341,4214,20,92424493,58,9282240,120998374,14373,83,1754240,1906965,314486,1
Sun to Me,American Heartbreak,Zach Bryan,5/20/2022,USWB12201490,4209,20,307125680,78,23958351,91548493,1612,24,61065910,2086392,170053,0
ID,ID - Single,Young Miko,6/2/2023,QZXD92300004,4197,20,118689822,61,45565540,215516634,3615,22,1171962,314977,227408,1
Remember That Night?,Remember That Night?,Sara Kays,11/6/2020,USAT22007230,4200,20,363510259,68,45636634,907351760,12357,17,44733897,15009558,663298,0
Bound 2,Yeezus,Kanye West,1/1/2013,USUM71307523,4239,20,948562412,76,179763989,509550794,1601,23,21177888,31181184,2295441,1
Feel This Moment,Greatest Hits,Pitbull,1/1/2009,USRC11201328,4243,20,687212492,74,830074389,388454078,1411,199,323641777,15618720,10452280,0
Ocean Drive,Ocean Drive,Duke Dumont,7/31/2015,GBUM71504503,4246,20,624262344,68,139990813,61873397,56327,34,70073404,15506367,13112923,0
Mama (with Skilla Baby & Tay B),Mama (with Skilla Baby & Tay B),Rob49,8/4/2023,USA2P2330132,4240,20,15885603,53,9303252,17072834,49615,111,4964003,4147498,692423,1
Clouded,Fuck The World,Brent Faiyaz,2/7/2020,QM24S1927163,4264,20,556176640,75,53515473,203313460,48,6,15516583,15539564,478489,1
Day 'N' Nite (nightmare),Day 'N' Nite,Kid Cudi,1/1/2009,USUM70957500,4277,20,836986096,64,348950018,87179494,16944,205,675329188,3925477,2984024,1
VOID,VOID,Melanie Martinez,3/29/2023,USAT22220418,4259,20,121386649,56,36712138,399701698,25855,16,2154605,2224291,232347,0
i'm so tired...,i'm so tired...,Lauv,1/24/2019,GBKPL1933763,4260,20,885986482,66,221704345,39158457,46352,71,31530526,5865868,2767586,0
Quï¿½ï¿½ Onda Per,Quï¿½ï¿½ Onda Per,Gerardo Coronel,2/17/2023,QZDQH2301118,4307,20,58284482,54,79995263,281657688,1561,16,35942085,741427,507081,0
Your Heart Or Mine,Mr. Saturday Night,Jon Pardi,9/2/2022,USUM72211354,4329,20,129531779,69,13125721,12561121,153263,144,34744597,893347,446529,0
"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring,6/12/2008,USSM10801605,4334,20,968810827,77,336220628,47328081,67246,5,793391919,1109382,3522400,1
Hide Away,Hide Away,Daya,4/22/2015,QM4ZV1500057,4327,20,493444344,76,110108631,1951015670,8576,162,315421399,2353027,4367770,0
Chamber Of Reflection,Salad Days,Mac DeMarco,3/28/2014,QMMZN1300568,4321,20,728140057,74,251014567,918538689,2120,4,19923286,15522068,2451463,0
Baddest,Baddest,Yung Bleu,6/11/2021,USUYG1373541,4391,20,58539080,49,93406018,122233226,180840,245,72404038,1747863,1492094,1
