track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
Lean Wit Me,Lean Wit Me,Juice WRLD,5/22/2018,USUG11800945,"1,001",47.9,"880,781,313",72.0,"432,457,883","33,981,823",835,113,"59,762,272","120,023,575","934,193",1
Panini,Panini,Lil Nas X,6/20/2019,USSM11903948,"1,003",47.9,"741,766,886",62.0,"659,070,547","493,209,730","46,553",504,"132,924,483","43,940,834","2,409,985",0
"Ay, DiOs Mï¿½ï","Ay, DiOs Mï¿½ï",KAROL G,7/10/2020,USUM72013593,"1,016",47.7,"599,215,039",61.0,"834,762,162","779,241,131","26,349",168,"54,177,152","2,842,552","1,362,793",0
After Hours,After Hours,Kehlani,4/4/2024,USAT22401034,"1,019",47.6,"34,629,239",14.0,"2,560,026","4,592,500","36,465",7,"4,067,131","603,693","349,619",1
Mmhmm,Mmhmm,BigXthaPlug,10/6/2023,QZNMX2391413,"1,020",47.5,"155,648,648",82.0,"27,758,776","7,609,548","23,720",203,"7,238,417","5,358,274","479,173",1
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,MEDUZA,7/22/2022,GBUM72203666,"1,035",47.2,"460,973,352",69.0,"21,938,855","202,563,112","200,995",171,"4,963,625","2,244,208","3,373,945",0
ETA,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,USA2P2330071,"1,038",47.1,"234,215,735",74.0,"189,170,317","297,802,502","2,619",21,"696,801","1,352,255","248,138",0
Be Alright,Be Alright,Dean Lewis,6/29/2018,AUUM71800255,"1,042",47.0,"1,749,353,402",72.0,"244,698,483","379,547,638","153,400",53,"187,475,548","38,670,021","12,744,176",1
Jalebi Baby,Jalebi Baby,Tesher,11/13/2020,QZNWQ2070741,"1,041",47.0,"164,137,928",58.0,"569,438,267","8,443,743,856","20,053",26,"1,536,646","3,441,396","6,489,242",0
Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2/5/2021,USUG12105524,"1,056",46.8,"861,100,951",74.0,"95,899,960","184,453,448","245,294",305,"20,927,702","4,485,036","5,566,537",0
Feel the POP,You had me at HELLO,ZEROBASEONE,5/13/2024,KRA492400588,"1,060",46.6,"8,699,917",58.0,"31,498,812","329,800",101,9,"1,443","17,497","11,352",0
Youï¿½ï¿½ï¿½re Mines Still (feat. ,Youï¿½ï¿½ï¿½re Mines Still (feat. ,Yung Bleu,10/15/2020,USWB12004394,"1,075",46.1,"233,139,871",63.0,"425,539,008","111,422,826","194,040",57,"155,675,259","25,280,506","523,078",1
DILUVIO,PLAYA SATURNO,Rauw Alejandro,7/7/2023,USSD12300302,"1,078",46.0,"310,562,790",79.0,"113,130,284","372,688,472","8,643",50,"9,966,566","169,769","841,414",1
Nobody Gets Me,SOS,SZA,12/9/2022,USRC12204598,"1,091",45.9,"561,645,790",82.0,"79,127,644","220,878,489","61,047",293,"20,725,484","3,758,963","1,208,187",1
